element,elementLabel,symbol,atomicNumber,discoveryYear,discoveredByLabel,image
http://www.wikidata.org/entity/Q556,водород,H,1,1766,Генри Кавендиш,http://commons.wikimedia.org/wiki/Special:FilePath/Hydrogen%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q560,гелий,He,2,1868,Джозеф Норман Локьер,http://commons.wikimedia.org/wiki/Special:FilePath/Helium%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q560,гелий,He,2,1868,Пьер Жюль Сезар Жансен,http://commons.wikimedia.org/wiki/Special:FilePath/Helium%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q560,гелий,He,2,1868,Уильям Рамзай,http://commons.wikimedia.org/wiki/Special:FilePath/Helium%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q568,литий,Li,3,1817,Иоганн Арфведсон,http://commons.wikimedia.org/wiki/Special:FilePath/Lithium%20paraffin.jpg
http://www.wikidata.org/entity/Q569,бериллий,Be,4,1798,Фридрих Вёлер,http://commons.wikimedia.org/wiki/Special:FilePath/Beryllium%20nuggets%202.jpg
http://www.wikidata.org/entity/Q569,бериллий,Be,4,1798,Луи Никола Воклен,http://commons.wikimedia.org/wiki/Special:FilePath/Beryllium%20nuggets%202.jpg
http://www.wikidata.org/entity/Q569,бериллий,Be,4,1798,Антуан Александр Брутус Бюсси,http://commons.wikimedia.org/wiki/Special:FilePath/Beryllium%20nuggets%202.jpg
http://www.wikidata.org/entity/Q618,бор,B,5,1892,Гемфри Дэви,http://commons.wikimedia.org/wiki/Special:FilePath/Boron.jpg
http://www.wikidata.org/entity/Q623,углерод,C,6,1789,Антуан Лоран Лавуазье,http://commons.wikimedia.org/wiki/Special:FilePath/Coal%20anthracite.jpg
http://www.wikidata.org/entity/Q627,азот,N,7,1772,"Рутерфорд, Даниель",http://commons.wikimedia.org/wiki/Special:FilePath/Liquidnitrogen.jpg
http://www.wikidata.org/entity/Q629,кислород,O,8,1774,Карл Вильгельм Шееле,http://commons.wikimedia.org/wiki/Special:FilePath/Liquid%20oxygen%20in%20a%20beaker%204.jpg
http://www.wikidata.org/entity/Q650,фтор,F,9,1810,"Ампер, Андре-Мари",http://commons.wikimedia.org/wiki/Special:FilePath/Liquid%20fluorine%20tighter%20crop.jpg
http://www.wikidata.org/entity/Q650,фтор,F,9,1810,Анри Муассан,http://commons.wikimedia.org/wiki/Special:FilePath/Liquid%20fluorine%20tighter%20crop.jpg
http://www.wikidata.org/entity/Q654,неон,Ne,10,1898,"Траверс, Морис Уильям",http://commons.wikimedia.org/wiki/Special:FilePath/NeTube.jpg
http://www.wikidata.org/entity/Q654,неон,Ne,10,1898,Уильям Рамзай,http://commons.wikimedia.org/wiki/Special:FilePath/NeTube.jpg
http://www.wikidata.org/entity/Q658,натрий,Na,11,1807,Гемфри Дэви,http://commons.wikimedia.org/wiki/Special:FilePath/Na%20%28Sodium%29.jpg
http://www.wikidata.org/entity/Q660,магний,Mg,12,1755,Джозеф Блэк,http://commons.wikimedia.org/wiki/Special:FilePath/Magnesium%20crystals.jpg
http://www.wikidata.org/entity/Q663,алюминий,Al,13,1825,Ханс Кристиан Эрстед,http://commons.wikimedia.org/wiki/Special:FilePath/Aluminium-4.jpg
http://www.wikidata.org/entity/Q670,кремний,Si,14,1823,Йёнс Якоб Берцелиус,http://commons.wikimedia.org/wiki/Special:FilePath/SiliconCroda.jpg
http://www.wikidata.org/entity/Q674,фосфор,P,15,1669,Хенниг Бранд,http://commons.wikimedia.org/wiki/Special:FilePath/Phosphor.JPG
http://www.wikidata.org/entity/Q682,сера,S,16,1777,Антуан Лоран Лавуазье,http://commons.wikimedia.org/wiki/Special:FilePath/Sulfur%20-%20El%20Desierto%20mine%2C%20San%20Pablo%20de%20Napa%2C%20Daniel%20Campos%20Province%2C%20Potos%C3%AD%2C%20Bolivia.jpg
http://www.wikidata.org/entity/Q688,хлор,Cl,17,1774,Карл Вильгельм Шееле,http://commons.wikimedia.org/wiki/Special:FilePath/Chlorine%20liquid%20in%20an%20ampoule.jpg
http://www.wikidata.org/entity/Q696,аргон,Ar,18,1894,Джон Уильям Стретт,http://commons.wikimedia.org/wiki/Special:FilePath/Argon%20ice%201.jpg
http://www.wikidata.org/entity/Q696,аргон,Ar,18,1894,Уильям Рамзай,http://commons.wikimedia.org/wiki/Special:FilePath/Argon%20ice%201.jpg
http://www.wikidata.org/entity/Q703,калий,K,19,1807,Гемфри Дэви,http://commons.wikimedia.org/wiki/Special:FilePath/Kalium.jpg
http://www.wikidata.org/entity/Q706,кальций,Ca,20,1808,Гемфри Дэви,http://commons.wikimedia.org/wiki/Special:FilePath/Calcium%201.jpg
http://www.wikidata.org/entity/Q713,скандий,Sc,21,1879,Ларс Фредерик Нильсон,http://commons.wikimedia.org/wiki/Special:FilePath/Scandium%20sublimed%20dendritic%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q716,титан,Ti,22,1791,Фридрих Вёлер,http://commons.wikimedia.org/wiki/Special:FilePath/Titan-crystal%20bar.JPG
http://www.wikidata.org/entity/Q722,ванадий,V,23,1801,Андрес Мануэль дель Рио,http://commons.wikimedia.org/wiki/Special:FilePath/Vanadium%201.jpg
http://www.wikidata.org/entity/Q725,хром,Cr,24,1797,Луи Никола Воклен,http://commons.wikimedia.org/wiki/Special:FilePath/Chromium%20crystals%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q731,марганец,Mn,25,1774,Юхан Готлиб Ган,http://commons.wikimedia.org/wiki/Special:FilePath/Manganese%20electrolytic%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q677,железо,Fe,26,-5000,http://www.wikidata.org/.well-known/genid/fd1d2a0f5ae583e820451b0fc1a8c274,http://commons.wikimedia.org/wiki/Special:FilePath/Iron%20electrolytic%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q740,кобальт,Co,27,1735,Георг Брандт,http://commons.wikimedia.org/wiki/Special:FilePath/Kobalt%20electrolytic%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q744,никель,Ni,28,1751,"Кронштедт, Аксель",http://commons.wikimedia.org/wiki/Special:FilePath/Electrolytic%20nickel.jpg
http://www.wikidata.org/entity/Q753,медь,Cu,29,,,http://commons.wikimedia.org/wiki/Special:FilePath/NatCopper.jpg
http://www.wikidata.org/entity/Q758,цинк,Zn,30,,http://www.wikidata.org/.well-known/genid/7b60203dc35c0012a83af70b3ccf5c2f,http://commons.wikimedia.org/wiki/Special:FilePath/Zinc%20fragment%20sublimed%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q861,галлий,Ga,31,1875,"Лекок де Буабодран, Поль Эмиль",http://commons.wikimedia.org/wiki/Special:FilePath/Gallium%20crystals.jpg
http://www.wikidata.org/entity/Q867,германий,Ge,32,1885,Клеменс Александр Винклер,http://commons.wikimedia.org/wiki/Special:FilePath/Germanium%20element.jpg
http://www.wikidata.org/entity/Q871,мышьяк,As,33,1300,Альберт Великий,http://commons.wikimedia.org/wiki/Special:FilePath/Arsen%201.jpg
http://www.wikidata.org/entity/Q876,селен,Se,34,1817,Йёнс Якоб Берцелиус,http://commons.wikimedia.org/wiki/Special:FilePath/Selen%201.jpg
http://www.wikidata.org/entity/Q876,селен,Se,34,1817,Юхан Готлиб Ган,http://commons.wikimedia.org/wiki/Special:FilePath/Selen%201.jpg
http://www.wikidata.org/entity/Q879,бром,Br,35,1825,"Лёвих, Карл Якоб",http://commons.wikimedia.org/wiki/Special:FilePath/Bromine%20vial%20in%20acrylic%20cube.jpg
http://www.wikidata.org/entity/Q879,бром,Br,35,1825,Антуан Жером Балар,http://commons.wikimedia.org/wiki/Special:FilePath/Bromine%20vial%20in%20acrylic%20cube.jpg
http://www.wikidata.org/entity/Q888,криптон,Kr,36,1898,"Траверс, Морис Уильям",http://commons.wikimedia.org/wiki/Special:FilePath/Krypton%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q888,криптон,Kr,36,1898,Уильям Рамзай,http://commons.wikimedia.org/wiki/Special:FilePath/Krypton%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q895,рубидий,Rb,37,1861,Густав Роберт Кирхгоф,http://commons.wikimedia.org/wiki/Special:FilePath/RbMetal.JPG
http://www.wikidata.org/entity/Q895,рубидий,Rb,37,1861,Роберт Вильгельм Бунзен,http://commons.wikimedia.org/wiki/Special:FilePath/RbMetal.JPG
http://www.wikidata.org/entity/Q938,стронций,Sr,38,1787,"Крюйкшенк, Уильям",http://commons.wikimedia.org/wiki/Special:FilePath/Strontium%20destilled%20crystals.jpg
http://www.wikidata.org/entity/Q941,иттрий,Y,39,1787,Фридрих Вёлер,http://commons.wikimedia.org/wiki/Special:FilePath/Yttrium%20sublimed%20dendritic%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q941,иттрий,Y,39,1787,Юхан Гадолин,http://commons.wikimedia.org/wiki/Special:FilePath/Yttrium%20sublimed%20dendritic%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q1038,цирконий,Zr,40,1789,Йёнс Якоб Берцелиус,http://commons.wikimedia.org/wiki/Special:FilePath/Zirconium%20crystal%20bar%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q1038,цирконий,Zr,40,1789,Мартин Генрих Клапрот,http://commons.wikimedia.org/wiki/Special:FilePath/Zirconium%20crystal%20bar%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q1038,цирконий,Zr,40,1789,Ян Хендрик де Бур,http://commons.wikimedia.org/wiki/Special:FilePath/Zirconium%20crystal%20bar%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q1038,цирконий,Zr,40,1789,Антон Эдуард Ван Аркель,http://commons.wikimedia.org/wiki/Special:FilePath/Zirconium%20crystal%20bar%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q1046,ниобий,Nb,41,1801,"Хэтчетт, Чарльз",http://commons.wikimedia.org/wiki/Special:FilePath/Niobium%20crystals%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q1053,молибден,Mo,42,1778,Карл Вильгельм Шееле,http://commons.wikimedia.org/wiki/Special:FilePath/Molybdenum%20crystaline%20fragment%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q1054,технеций,Tc,43,1937,"Сегре, Эмилио Джино",http://commons.wikimedia.org/wiki/Special:FilePath/Technetium-sample.jpg
http://www.wikidata.org/entity/Q1054,технеций,Tc,43,1937,Carlo Perrier,http://commons.wikimedia.org/wiki/Special:FilePath/Technetium-sample.jpg
http://www.wikidata.org/entity/Q1086,рутений,Ru,44,1844,"Клаус, Карл Карлович",http://commons.wikimedia.org/wiki/Special:FilePath/Ruthenium%20a%20half%20bar.jpg
http://www.wikidata.org/entity/Q1087,родий,Rh,45,1803,Уильям Хайд Волластон,http://commons.wikimedia.org/wiki/Special:FilePath/Rhodium%20powder%20pressed%20melted.jpg
http://www.wikidata.org/entity/Q1089,палладий,Pd,46,1803,Уильям Хайд Волластон,http://commons.wikimedia.org/wiki/Special:FilePath/Palladium%201-noReflection.jpg
http://www.wikidata.org/entity/Q1090,серебро,Ag,47,,,http://commons.wikimedia.org/wiki/Special:FilePath/Silver%20crystal.jpg
http://www.wikidata.org/entity/Q1091,кадмий,Cd,48,1817,Karl Samuel Leberecht Hermann,http://commons.wikimedia.org/wiki/Special:FilePath/Cadmium-crystal%20bar.jpg
http://www.wikidata.org/entity/Q1091,кадмий,Cd,48,1817,Фридрих Штромейер,http://commons.wikimedia.org/wiki/Special:FilePath/Cadmium-crystal%20bar.jpg
http://www.wikidata.org/entity/Q1094,индий,In,49,1863,Фердинанд Райх,http://commons.wikimedia.org/wiki/Special:FilePath/Indium%20wetting%20glass.jpg
http://www.wikidata.org/entity/Q1094,индий,In,49,1863,Теодор Рихтер,http://commons.wikimedia.org/wiki/Special:FilePath/Indium%20wetting%20glass.jpg
http://www.wikidata.org/entity/Q1096,олово,Sn,50,,,http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%ADn.PNG
http://www.wikidata.org/entity/Q1099,сурьма,Sb,51,,,http://commons.wikimedia.org/wiki/Special:FilePath/Antimony-2.jpg
http://www.wikidata.org/entity/Q1100,теллур,Te,52,1783,"Мюллер, Франц Йозеф",http://commons.wikimedia.org/wiki/Special:FilePath/Tellurium%20element%202.jpg
http://www.wikidata.org/entity/Q1103,иод,I,53,1811,Бернар Куртуа,http://commons.wikimedia.org/wiki/Special:FilePath/Sample%20of%20iodine.jpg
http://www.wikidata.org/entity/Q1106,ксенон,Xe,54,1898,"Траверс, Морис Уильям",http://commons.wikimedia.org/wiki/Special:FilePath/Xenon%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q1106,ксенон,Xe,54,1898,Уильям Рамзай,http://commons.wikimedia.org/wiki/Special:FilePath/Xenon%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q1108,цезий,Cs,55,1860,Густав Роберт Кирхгоф,http://commons.wikimedia.org/wiki/Special:FilePath/Cesium.jpg
http://www.wikidata.org/entity/Q1108,цезий,Cs,55,1860,Роберт Вильгельм Бунзен,http://commons.wikimedia.org/wiki/Special:FilePath/Cesium.jpg
http://www.wikidata.org/entity/Q1112,барий,Ba,56,1808,Гемфри Дэви,http://commons.wikimedia.org/wiki/Special:FilePath/Barium%201.jpg
http://www.wikidata.org/entity/Q1801,лантан,La,57,1839,Карл Густав Мосандер,http://commons.wikimedia.org/wiki/Special:FilePath/Lanthan%201-cropflipped.jpg
http://www.wikidata.org/entity/Q1385,церий,Ce,58,1804,Йёнс Якоб Берцелиус,http://commons.wikimedia.org/wiki/Special:FilePath/CE2k2g.jpg
http://www.wikidata.org/entity/Q1385,церий,Ce,58,1804,Мартин Генрих Клапрот,http://commons.wikimedia.org/wiki/Special:FilePath/CE2k2g.jpg
http://www.wikidata.org/entity/Q1386,празеодим,Pr,59,1841,Карл Густав Мосандер,http://commons.wikimedia.org/wiki/Special:FilePath/Praseodym%201.jpg
http://www.wikidata.org/entity/Q1388,неодим,Nd,60,1885,Карл Ауэр фон Вельсбах,http://commons.wikimedia.org/wiki/Special:FilePath/Neodym%201.jpg
http://www.wikidata.org/entity/Q1809,прометий,Pm,61,1945,Charles D. Coryell,http://commons.wikimedia.org/wiki/Special:FilePath/Promethium.jpg
http://www.wikidata.org/entity/Q1809,прометий,Pm,61,1945,"Маринский, Джейкоб",http://commons.wikimedia.org/wiki/Special:FilePath/Promethium.jpg
http://www.wikidata.org/entity/Q1809,прометий,Pm,61,1945,Lawrence E. Glendenin,http://commons.wikimedia.org/wiki/Special:FilePath/Promethium.jpg
http://www.wikidata.org/entity/Q1819,самарий,Sm,62,1879,"Лекок де Буабодран, Поль Эмиль",http://commons.wikimedia.org/wiki/Special:FilePath/Samarium%201.jpg
http://www.wikidata.org/entity/Q1396,европий,Eu,63,1901,"Демарсе, Эжен Анатоль",http://commons.wikimedia.org/wiki/Special:FilePath/Eu-Block.jpg
http://www.wikidata.org/entity/Q1832,гадолиний,Gd,64,1880,Жан Шарль Галиссард Мариньяк,http://commons.wikimedia.org/wiki/Special:FilePath/Gadolinium.jpg
http://www.wikidata.org/entity/Q1838,тербий,Tb,65,1843,Карл Густав Мосандер,http://commons.wikimedia.org/wiki/Special:FilePath/Terbium%20element.jpg
http://www.wikidata.org/entity/Q1843,диспрозий,Dy,66,1886,"Лекок де Буабодран, Поль Эмиль",http://commons.wikimedia.org/wiki/Special:FilePath/Dysprosium1.jpg
